,precision,recall,f1-score,support
0,0.77,0.9390243902439024,0.8461538461538461,82.0
1,0.68,0.3953488372093023,0.5,86.0
2,0.6344086021505376,0.6781609195402298,0.6555555555555556,87.0
3,0.7752808988764045,0.7931034482758621,0.7840909090909091,87.0
4,0.8715596330275229,0.8962264150943396,0.8837209302325582,106.0
5,0.90625,0.9775280898876404,0.9405405405405406,89.0
6,1.0,1.0,1.0,97.0
accuracy,0.8170347003154574,0.8170347003154574,0.8170347003154574,0.8170347003154574
macro avg,0.805357019150638,0.8113417286073253,0.80143739736763,634.0
weighted avg,0.8112059269562483,0.8170347003154574,0.8075968210120142,634.0
